crate_id,downloads
1585739,229
1593758,185
521078,79030
394397,92949
824468,259786
523566,19490
736895,3759
1584295,334
650363,81911
1610049,121
1002499,75214
1603770,155
1115517,29761
644272,54254
1281544,9210
1609936,117
2996,110793
312653,471056
65142,23598
2183,25195
1222692,112567
1611322,131
1609392,131
136789,381186
708895,45116
1601929,475
1607085,135
1601931,160
1604600,465
1557804,529
1603007,153
1078042,47588
130633,1437
1599473,176
616680,521077
1013119,21718
216357,38681
584645,81624
1023624,17629
1610896,113
449707,24148
1341353,6278
831856,95044
1355838,1741
544888,2113
6700,3023
1125501,56271
330296,2987
1611160,127
148212,684134
621520,318014
315794,73876
114961,257940
394455,120222
1607232,135
1606339,151
787410,4752
7836,1941
905311,18227
1307298,18810
1546253,18706
105352,464727
556624,1621
169875,17243
1583211,215
236582,125823
1587436,350
1611373,109
1606797,412
1593452,196
755887,40414
281044,6636
1609330,246
210335,2309
1391378,13068
619398,178565
221845,10854
1596226,180
1144333,29762
734930,46873
132312,1431
422697,742720
101938,229271
309414,14105
1152387,8799
1603688,154
786321,1069
1314249,5139
399434,294149
556807,29761
130530,24502
1248310,168679
976061,3726
104397,1367
1609858,122
758588,63155
1603030,193
255128,18707
1558251,2073
1588302,211
901903,12042
1610503,121
1517563,12239
1607446,138
476673,70067
1602727,321
70282,795931
193005,578389
527258,161726
1497805,413
222677,4267
1609170,125
1579360,717
1610654,120
8763,5412
1000108,30509
394679,94262
1603884,149
427993,17599
936532,5624
1611804,112
1609355,129
1593657,197
394438,111221
1403847,626
1610820,119
2019,2590
956158,25528
1610653,122
895847,6360
1611514,105
119643,17479
76288,29773
1034415,64044
348581,27607
1584228,689
1609161,500
1244876,1659
1607220,546
535180,885
1611244,134
1591321,203
51925,2871258
1598055,843
1001013,4118
870842,10272
1599968,189
1495059,19211
796118,45877
1597840,451
1609751,122
102366,1238
89770,34232
1100595,7184
584817,19450
877784,123068
400802,30177
88446,182054
583664,45678
201825,36163
1593532,237
1583463,215
1186705,56662
1583909,218
120009,1437
1087856,9039
1570824,1223
400688,26506
1346,2674
210384,156374
884874,3637
699783,53353
741670,7174
115621,29360
1206651,13727
164106,1446
1609900,121
724467,84034
1609564,123
95147,3208
486875,47472
1609562,248
459632,27034
263968,3094
1373070,1317
888441,12592
190862,70082
397430,285376
1591271,199
749024,117856
4885,488710
1492241,7165
1599037,167
1593670,183
960139,42341
610101,2101
446748,11131
761298,24573
19435,168545
89262,33353
1610367,126
1610204,120
1579903,229
93287,121475
1597234,191
200522,22933
1566726,2395
394553,92706
1152164,4119
1041502,17744
423277,35315
248229,40000
1598967,480
245618,413196
1598779,181
1594920,190
1505809,18595
379416,276348
1481389,31562
1097994,40252
1611307,134
1599071,167
85051,79029
912603,115355
83199,930661
180764,1553273
1598696,175
1583616,240
1611161,128
1610047,119
1597236,188
895999,91695
572966,3060
468918,89421
1494227,2617
1296171,5762
1181009,61703
1586341,277
427167,3549
247903,40534
1591043,237
1606623,141
1148071,14602
6745,77622
1184662,247538
148482,1377
677166,16179
8339,2352623
1035263,35496
1068371,16663
96195,1504161
1285990,13041
1595093,583
475217,57494
1609750,243
1223570,1797
770790,2937
373499,134976
970932,117787
1609595,128
811534,7736
1158303,20227
1611681,101
3539,1356598
1524499,362
248320,39871
293879,249087
309393,422201
678044,168914
1394421,5119
657602,208807
76911,307367
594324,20578
1197260,262762
753862,13729
1611918,104
1593887,193
1611489,218
5187,225125
493778,16535
899732,28269
244950,75465
351341,1288
783036,12222
1591784,2191
803984,4032
830809,77531
1158446,287778
1603974,147
1611417,110
757328,59828
1154604,27037
1591349,203
1596024,187
1593885,180
548035,1185
1571344,587
562965,31359
527177,8607
333971,87014
823144,66826
1294228,5863
392606,32228
1611302,117
1054089,30490
1582059,428
1087262,34904
7683,53566
1173998,76022
1257590,11769
949171,9284
1504045,15646
1592724,1454
327526,1326
1501844,19297
760622,6684
1589825,196
564912,12648
1222732,5383
1611468,113
1601320,170
1599862,160
166564,109247
1019881,11774
1322686,13199
4759,375547
414916,169860
1014795,13952
1593956,196
1574384,985
32293,62576
1013890,9761
743853,34224
915306,6868
1592576,201
1591308,200
1570560,846
1194469,74011
1597126,176
234814,147080
1533747,3369
864228,269725
1602953,155
1609062,257
1609903,121
1601563,159
1604261,185
287995,4411
394569,100771
1534528,1261
98652,5969
537721,397026
1593020,1043
1611163,128
777646,28770
1589081,195
1599426,169
1602487,158
723,927352
174450,71761
510392,40220
815206,2086
1594578,199
1596140,377
719965,92297
1307126,18605
1582415,225
1582839,214
1599230,225
1110279,65085
255064,39176
137045,5337
93595,41642
48882,2766
1602072,153
459988,60999
1589948,192
1591447,195
531540,155610
1589951,4937
571979,164017
1609896,120
1498900,3972
1261938,21319
1599188,946
1097106,148597
432865,24931
1589607,205
414466,118144
649646,11932
12227,348105
475376,197673
716854,16234
900606,565732
8327,19842
1589228,203
1610814,117
1594704,269
1598468,175
1612154,93
274854,74551
1412990,9633
1587672,4044
1607416,141
1610046,121
1092579,11145
584152,143754
1610058,120
289215,14055
1609094,136
1592160,186
1497531,7252
895544,25483
125051,202573
694464,1174
1591293,202
1600634,321
1587961,556
589197,3934
1602071,763
1598054,516
1609462,450
1605136,952
1607256,281
38934,33063443
292925,563464
394644,243478
1607476,133
389066,81861
1199446,20487
384705,37905
782434,17409
740545,11057
603783,7503
694745,1244
128088,51164
332444,2023131
1258252,12127
1591436,393
975210,9282
981455,1233715
1268887,10252
1611124,215
569289,36051
423464,3315443
1598126,178
1603218,143
211651,11448
84556,387008
145293,2593
989319,11111
1505672,1881
133925,383066
128526,65158
1602281,166
397435,349148
242707,35132
187227,69475
1611730,110
1607388,141
219799,566970
1603108,158
1602284,321
566974,32697
403771,82305
350117,3691
1578516,298
1162916,28821
1272086,10536
307471,85089
771212,9172
1602411,154
1040568,4641
486732,5910
1335192,17157
903884,16323
1477752,1507
642416,63674
1486517,13487
442768,121962
906482,27214
85786,204583
1582850,216
7432,1879
394498,87647
7737,4081
1609837,126
1295420,68739
1047094,24294
1610867,215
858185,50057
1598994,166
936621,1016
611764,34335
1609358,135
1583849,224
955100,6724
2818,2578
3613,1657139
1594716,297
1596740,782
1476965,956
1583824,215
1606717,141
1510786,11441
1606538,135
211699,1991
940668,5301
1506857,9412
184955,23289
1501751,387
546620,347303
1113418,89667
1464797,2734
50789,697882
430944,1195
1593957,188
311362,113579
224644,264174
1607353,134
1600935,970
1427166,1624
864409,8401
1562108,832
830564,16329
1606670,141
613098,125049
81624,1571
481257,5707380
92972,8198825
1516438,8424
124654,313139
835461,4110
3202,59678
244421,25207
1034343,66726
17728,245003
1189120,121282
184971,64466
1599446,744
1599903,160
1603881,156
138211,65930
1513063,383
147329,31961
162608,1859
582296,23097
1603882,148
852,458889
394416,95708
9014,181065
130678,733947
394413,92154
869318,13757
1609812,123
317388,68142
314482,90701
394632,98887
1596056,163
470600,46323
355228,5818
1373059,3526
555018,21659
382592,7119
323709,1275747
247131,533423
1065588,7723
946908,3512
1403677,148331
227674,1411985
394550,138821
394461,91642
439605,6661
1606217,325
1607663,133
895537,23872
1607411,280
8784,596926
1468474,143218
1004341,1031
319810,99367
1121975,7164
205623,19187
1105061,34491
506420,253641
153015,48425
1610129,120
525393,293230
293977,132355
99360,10298
314461,89676
127407,129779
768988,72462
102959,57508
489,5797
6852,153069
114600,10761
470609,4129135
512336,17543
394646,68405
847,9199697
394513,89853
1455716,2120
1332864,7704
652289,36491
1170678,10243
988788,30631
1333550,8376
5530,66670
20710,1829
486431,890705
75062,162303
747037,530535
394502,90891
241823,20162
1611477,219
1488416,4118
294007,129523
415663,20028
52740,10822888
1196294,6067
1482226,13605
322648,2611749
636922,44995
1054113,3296
377336,177738
1249407,4544
1549343,306
1558952,1332
1595609,371
311808,167793
414520,48352
1212648,59637
394556,89782
1130932,2767
792353,67749
64811,51535
394441,88978
46314,2621336
1184027,3017
1099350,27264
1517196,345
1481168,903
838952,1071
1438656,510
554391,1143
428128,2108
1455468,2725
853004,5072
515246,1245
359977,2409022
120735,443547
1609810,123
771177,11148
754101,9236
526853,1301434
1585206,422
1604039,146
1188117,4035
270586,26111
1592047,217
423358,2196
1610688,130
731707,4463
3815,12436971
393756,254341
